Requester ID|xAR Title|XAR type|Investigation Class|Scientific Objective|Ground Campaign|Implementation Urgency|SSSG-Active|User-Active|Coverage Method| Sample length (Min.)| Sample length (Max.)|Number of samples|Coverage amount required|Allow Cross-Track Fragmentation|Require Full Duration Observations Across AOI|Instrument Mode|Band gain setting (VNIR1)|Band gain setting (VNIR2)|Band gain setting (VNIR3)|Band gain setting (SWIR0)|Band gain setting (SWIR5)|Band gain setting (SWIR6)|Band gain setting (SWIR7)|Band gain setting (SWIR8)|Band gain setting (SWIR9)|Day/Night|Sun Angle(Min.)|Sun Angle(Max.)|Pointing|Specific Look Angle|Specific View Swath|Range-Look Angle (Min.)|Range-Look Angle (Max.)|Look Angle Absolute Flag|Avoid Clouds|Coverage|Multiple Observation=2|Lifetime (Start)|Lifetime (End)|AW Duration (days)|AW Repeat Cycle =|Expedited Data|Justification for Expedited Data|Level 1B Process|Map Projection|Re-sampling|Commetns|AOI Points|AOI Points1 (Lon.- Lat.)|AOI Points2 (Lon.- Lat.)|AOI Points3 (Lon.- Lat.)|AOI Points4 (Lon.- Lat.)|AOI Points5 (Lon.- Lat.)|AOI Points6 (Lon.- Lat.)|AOI Points7 (Lon.- Lat.)|AOI Points8 (Lon.- Lat.)|AOI Points9 (Lon.- Lat.)|AOI Points10 (Lon.- Lat.)|AOI Points11 (Lon.- Lat.)|AOI Points12 (Lon.- Lat.)|AOI Points13 (Lon.- Lat.)|AOI Points14 (Lon.- Lat.)|AOI Points15 (Lon.- Lat.)|AOI Points16 (Lon.- Lat.)|AOI Points17 (Lon.- Lat.)|AOI Points18 (Lon.- Lat.)|AOI Points19 (Lon.- Lat.)|AOI Points20 (Lon.- Lat.)|AOI Points21 (Lon.- Lat.)|AOI Points22 (Lon.- Lat.)|AOI Points23 (Lon.- Lat.)|AOI Points24 (Lon.- Lat.)
R00E2201|H007EC1508_ex|8|19|See GLIMS documents|0|0|1|1|0|1|1|1|100|1|0|0|1|3|3|0|0|0|0|0|0|1|0|90|3|0|4|-8.55|8.55|0|0|20%|1|07/05/2023 00:00:00|10/09/2023 00:00:00|16  00:00:00|16  00:00:00|0|-|0|2|3|Southern_Alaska; Kieffer (Extended)|14|-145 52'44.39"  60 35'31.92"|-145 57'57.61"  60 36'50.04"|-146 08'27.62"  60 47'37.68"|-146 28'08.38"  60 48'19.44"|-146 46'19.21"  61 00'48.60"|-146 51'36.00"  60 59'51.00"|-146 58'08.38"  60 55'33.24"|-147 03'00.01"  60 57'21.60"|-147 03'00.01"  61 48'23.04"|-146 26'34.78"  61 49'27.12"|-146 18'35.99"  61 44'44.16"|-146 17'13.21"  61 41'46.68"|-146 03'57.58"  61 30'58.32"|-145 52'44.39"  61 28'06.56"||||||||||
R00E2201|H007EC1509_ex|8|19|See GLIMS documents|0|0|1|1|0|1|1|1|100|1|0|0|1|3|3|0|0|0|0|0|0|1|0|90|3|0|4|-8.55|8.55|0|0|20%|1|07/05/2023 00:00:00|10/09/2023 00:00:00|16  00:00:00|16  00:00:00|0|-|0|2|3|Southern_Alaska; Kieffer (Extended)|11|-139 20'52.83"  61 19'57.00"|-139 42'21.58"  59 50'03.48"|-140 01'40.80"  59 42'14.04"|-140 41'02.42"  59 37'36.48"|-141 10'08.42"  59 47'27.60"|-141 19'08.40"  59 53'00.24"|-140 59'56.37"  61 37'25.32"|-140 59'06.00"  61 37'18.12"|-140 50'56.40"  61 30'01.80"|-140 02'56.39"  61 30'34.56"|-139 47'49.19"  61 17'07.08"|||||||||||||
R00E2201|H007EC1510_ex|8|19|See GLIMS documents|0|0|1|1|0|1|1|1|100|1|0|0|1|1|1|0|0|0|0|0|0|1|0|90|3|0|4|-8.55|8.55|0|0|20%|1|07/05/2023 00:00:00|10/09/2023 00:00:00|16  00:00:00|16  00:00:00|0|-|0|2|3|Western_Canada; Kieffer (Extended)|11|-127 24'28.82"  54 59'19.32"|-127 16'58.82"  54 54'58.68"|-126 51'39.57"  54 59'30.44"|-126 47'45.62"  54 52'56.28"|-127 01'44.43"  54 42'00.36"|-127 06'00.02"  54 23'24.00"|-127 21'03.59"  54 32'09.24"|-127 29'52.80"  54 29'47.76"|-127 36'25.18"  54 17'00.96"|-128 16'37.17"  54 20'40.20"|-128 15'50.43"  54 29'58.56"|||||||||||||
R00E2201|H007EC1511_ex|8|19|See GLIMS documents|0|0|1|1|0|1|1|1|100|1|0|0|3|3|3|0|0|0|0|0|0|1|0|90|3|0|4|-8.55|8.55|0|0|20%|1|07/01/2023 00:00:00|08/18/2023 00:00:00|16  00:00:00|16  00:00:00|0|-|0|2|3|Arctic_Canada; Kieffer (Extended)|13|-91 15'54.05"  80 20'47.76"|-90 59'34.84"  80 16'57.36"|-90 41'38.40"  80 05'43.08"|-89 42'25.20"  80 00'02.88"|-90 36'07.16"  78 15'28.80"|-90 56'52.79"  78 11'30.12"|-91 28'19.15"  78 14'40.52"|-92 20'13.22"  78 40'59.84"|-92 21'39.57"  78 47'52.76"|-92 02'42.05"  79 06'20.84"|-92 03'28.85"  79 15'25.92"|-92 09'07.23"  79 20'10.68"|-92 34'26.42"  79 21'53.28"|||||||||||
R00E2201|H007EC1512_ex|8|19|See GLIMS documents|0|0|1|1|0|1|1|1|100|1|0|0|1|3|3|0|0|0|0|0|0|1|0|90|3|0|4|-8.55|8.55|0|0|20%|1|07/01/2023 00:00:00|08/18/2023 00:00:00|16  00:00:00|16  00:00:00|0|-|0|2|3|Arctic_Canada; Kieffer (Extended)|11|-74 05'56.40"  71 50'15.36"|-74 24'14.37"  71 18'11.88"|-74 42'43.22"  70 48'01.44"|-75 29'56.37"  71 02'40.56"|-75 41'16.76"  71 19'08.76"|-76 19'55.20"  71 04'01.20"|-76 47'02.39"  71 23'28.64"|-76 52'15.61"  71 23'29.04"|-75 50'20.36"  72 38'49.20"|-75 35'45.63"  72 37'59.16"|-74 21'39.57"  72 09'28.76"|||||||||||||
R00E2201|H007EC1513_ex|8|19|See GLIMS documents|0|0|1|1|0|1|1|1|100|1|0|0|3|3|3|0|0|0|0|0|0|1|0|90|3|0|4|-8.55|8.55|0|0|20%|1|03/03/2023 00:00:00|04/20/2023 00:00:00|16  00:00:00|16  00:00:00|0|-|0|2|3|Southern_S_America; Kieffer (Extended)|17|-72 51'10.79"  -45 29'09.60"|-72 29'45.61"  -45 47'32.64"|-72 22'15.61"  -46 30'24.08"|-72 03'43.24"  -46 37'36.84"|-72 01'19.21"  -46 43'51.60"|-72 09'25.25"  -46 56'29.76"|-72 15'21.64"  -46 58'03.00"|-72 37'15.61"  -46 35'32.64"|-72 44'38.36"  -46 35'32.64"|-72 51'07.16"  -46 41'59.64"|-72 51'32.43"  -47 08'57.84"|-74 01'40.85"  -47 14'09.24"|-74 02'38.42"  -47 06'17.64"|-74 10'40.83"  -46 50'40.20"|-73 59'02.43"  -46 37'10.52"|-73 21'32.43"  -46 19'05.16"|-73 11'24.01"  -45 47'56.04"|||||||
R00E2201|H007EC1514_ex|8|19|See GLIMS documents|0|0|1|1|0|1|1|1|100|1|0|0|3|3|3|0|0|0|0|0|0|1|0|90|3|0|4|-8.55|8.55|0|0|20%|1|07/12/2023 00:00:00|08/13/2023 00:00:00|16  00:00:00|16  00:00:00|0|-|0|2|3|Greenland; Kieffer (Extended)|14|-22 35'13.22"  79 35'07.80"|-22 10'55.22"  79 36'25.56"|-22 05'42.00"  79 43'54.08"|-22 05'31.24"  79 59'00.56"|-21 39'39.64"  80 10'46.56"|-21 31'11.96"  79 52'23.16"|-21 25'40.83"  79 47'49.92"|-20 44'13.20"  79 49'28.92"|-20 37'19.23"  79 57'45.00"|-20 44'49.23"  80 19'33.56"|-20 40'44.35"  80 27'25.20"|-20 00'00.00"  80 28'10.92"|-20 00'00.00"  78 41'34.44"|-20 50'52.77"  78 39'05.36"||||||||||
R00E2201|H007EC1515_ex|8|19|See GLIMS documents|0|0|1|1|0|1|1|1|100|1|0|0|3|3|3|0|0|0|0|0|0|1|0|90|3|0|4|-8.55|8.55|0|0|20%|1|07/12/2023 00:00:00|08/13/2023 00:00:00|16  00:00:00|16  00:00:00|0|-|0|2|3|Greenland; Kieffer (Extended)|17|-20 00'00.00"  80 28'10.92"|-19 39'57.55"  80 28'33.56"|-19 34'40.81"  80 36'01.80"|-19 37'30.00"  80 55'15.92"|-19 20'34.75"  81 02'51.72"|-19 10'22.81"  81 15'38.88"|-18 46'40.85"  81 12'27.36"|-17 55'19.19"  81 20'31.20"|-17 17'49.19"  79 54'37.80"|-17 40'19.19"  79 40'44.40"|-19 00'18.02"  79 40'33.96"|-19 06'43.20"  79 34'06.96"|-19 08'02.41"  79 14'10.64"|-19 20'13.22"  79 01'30.72"|-19 18'10.83"  78 46'11.24"|-19 20'02.45"  78 43'31.44"|-20 00'00.00"  78 41'34.44"|||||||
R00E2201|H007EC1516_ex|8|19|See GLIMS documents|0|0|1|1|0|1|1|1|100|1|0|0|1|1|1|0|0|0|0|0|0|1|0|90|3|0|4|-8.55|8.55|0|0|20%|1|07/12/2023 00:00:00|08/13/2023 00:00:00|16  00:00:00|16  00:00:00|0|-|0|2|3|Iceland; Kieffer (Extended)|14|-18 56'52.79"  65 02'30.84"|-18 33'35.99"  65 01'53.04"|-18 17'56.44"  64 47'24.00"|-18 10'58.85"  64 44'52.44"|-17 13'40.79"  64 52'57.36"|-17 15'43.18"  63 53'46.28"|-17 21'50.45"  63 53'54.96"|-18 04'26.42"  64 03'13.68"|-18 16'15.59"  64 14'20.36"|-18 16'51.62"  64 31'06.60"|-18 23'16.80"  64 37'33.96"|-19 13'44.41"  64 31'17.04"|-19 28'55.18"  64 41'34.80"|-19 22'37.25"  64 43'39.72"||||||||||
R00E2201|H007EC1517_ex|8|19|See GLIMS documents|0|0|1|1|0|1|1|1|100|1|0|0|1|1|1|0|0|0|0|0|0|1|0|90|3|0|4|-8.55|8.55|0|0|20%|1|07/12/2023 00:00:00|08/13/2023 00:00:00|16  00:00:00|16  00:00:00|0|-|0|2|3|Iceland; Kieffer (Extended)|11|-17 13'40.79"  64 52'57.36"|-16 58'44.41"  64 55'03.72"|-15 10'08.42"  64 41'59.60"|-14 52'01.22"  64 48'00.72"|-14 47'42.05"  64 45'22.68"|-14 46'37.23"  64 40'52.64"|-14 49'37.19"  64 36'48.24"|-15 05'31.24"  64 34'38.28"|-15 30'43.18"  64 14'39.48"|-16 24'18.00"  63 52'33.60"|-17 15'43.18"  63 53'46.28"|||||||||||||
