Line 12:  V1: 1 -> 3; V2: 3 -> 3; V3: 3 -> 3
Line 107:  V1: 1 -> 1; V2: 1 -> 3; V3: 1 -> 3
Line 108:  V1: 1 -> 3; V2: 3 -> 3; V3: 3 -> 3
Line 111:  V1: 3 -> 3; V2: 3 -> 4; V3: 3 -> 4
Line 183:  V1: 1 -> 3; V2: 3 -> 3; V3: 3 -> 3
Line 191:  V1: 1 -> 1; V2: 1 -> 1; V3: 1 -> 3
Line 234:  V1: 3 -> 3; V2: 3 -> 4; V3: 3 -> 4
Line 487:  V1: 1 -> 1; V2: 1 -> 1; V3: 1 -> 3
Line 489:  V1: 1 -> 1; V2: 1 -> 3; V3: 3 -> 3
Line 491:  V1: 1 -> 1; V2: 1 -> 1; V3: 1 -> 3
Line 512:  V1: 1 -> 1; V2: 1 -> 1; V3: 1 -> 3
Line 513:  V1: 1 -> 1; V2: 1 -> 3; V3: 3 -> 3
Line 514:  V1: 1 -> 1; V2: 1 -> 1; V3: 1 -> 3
Line 515:  V1: 1 -> 1; V2: 1 -> 1; V3: 1 -> 3
Line 554:  V1: 3 -> 3; V2: 3 -> 4; V3: 3 -> 4
Line 615:  V1: 1 -> 1; V2: 1 -> 1; V3: 1 -> 3
Line 616:  V1: 1 -> 1; V2: 1 -> 3; V3: 1 -> 3
Line 617:  V1: 1 -> 1; V2: 1 -> 3; V3: 1 -> 3
Line 620:  V1: 1 -> 1; V2: 1 -> 1; V3: 1 -> 3
Line 623:  V1: 1 -> 3; V2: 3 -> 3; V3: 3 -> 3
Line 1367:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1368:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1369:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1370:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1371:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1372:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1373:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1374:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1375:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1376:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1377:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1378:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1379:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1380:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1381:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1382:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1383:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1384:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1385:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1386:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1387:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1388:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1389:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1390:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1391:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1392:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1393:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1394:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1395:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1396:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1397:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1398:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1399:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1400:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1401:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1402:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1403:  V1: 3 -> 3; V2: 3 -> 3; V3: 3 -> 4
Line 1746:  V1: 1 -> 3; V2: 3 -> 3; V3: 3 -> 3
